Rank,Question,QuestionInfo,AnswerType,FieldName,FieldCode,Category,Sub-Category,Document
3,ENTER THE CONTACT PHONE NUMBER OR EMAIL FOR THE PERSON/ORGANIZATION:,ENTER THE CONTACT INFORMATION BELOW.,text_short,CCONTRIBUTION CONTACT,CASH_CONTACT,INCOME,,
4,ENTER THE MONTHLY AMOUNT RECEIVED:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,currency,CCONTRIBUTION INCOME,CC_INCOME,INCOME,,
5,DO YOU HAVE ANOTHER CONTRIBUTOR TO REPORT?,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,CCONTRIBUTOR ADD,CC_ADD,INCOME,,
,,,,,,,,
1,I RECEIVE UNEMPLOYMENT BENEFITS:,DO YOU RECEIVE BENEFITTS FROM UNEMPLOYMENT?,radio,UNEMPLOYMENT BENEFITS,UN_BENEFITS,INCOME,,
2,LIST THE STATE IN WHICH YOU RECEIVE THE BENEFIT:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,text_short,UNEMPLOYMENT STATE,UN_STATE,INCOME,,
3,ENTER THE MONTHLY AMOUNT RECEIVED:,HOW MUCH DO YOU RECEIVE PER MONTH?,currency,UNEMPLOYMENT INCOME,UN_INCOME,INCOME,,
4,PLEASE UPLOAD YOUR MOST RECENT BENEFIT LETTER FOR UNEMPLOYMENT:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,file,UNEMPLOYMENT BENEFIT LETTER,UN_BENEFIT,INCOME,,
5,DO YOU HAVE ANOTHER UNEMPLOYMENT STATE BENEFIT TO REPORT?,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,UNEMPLOYMENT ADD,UN_ADD,INCOME,,
,,,,,,,,
1,"I RECEIVE VERTERAN'S ADMINISTRATION, GI BILL, OR NATIONAL GUARD/MILITARY BENEFITS/INCOME:",DO YOU RECEIVE ANY OF THESE BENEFITS?,radio,VA MILITARY BENEFIT,VA_BENEFIT,INCOME,,
2,PLEASE PROVIDE THE NAME OF THE ORGANIZATION THAT PROVIDES YOU WITH THE BENEFIT:,PLEASE ENTER THE FULL NAME OF YOUR BENEFACTOR.,text_short,VA MILITARY NAME,VA_NAME,INCOME,,
3,ENTER THE MONTHLY AMOUNT RECEIVED:,HOW MUCH DO YOU RECEIVE PER MONTH?,currency,VA MILITARY INCOME,VA_INCOME,INCOME,,
4,PLEASE UPLOAD YOUR MOST RECENT BENEFIT LETTER FOR THE MILITARY BENEFIT:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY'S ELIGIBILITY.,file,VA MILITARY BENEFIT UPLOAD,VA_UPLOAD,INCOME,,
5,DO YOU HAVE ANOTHER BENEFIT TO REPORT?,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,VA MILITARY ADD,VA_ADD,INCOME,,
,,,,,,,,
1,I RECEIVE SOCIAL SECURITY PAYMENTS:,DO YOU RECEIVE SOCIAL SECURITY PAYMENTS?,radio,SS BENEFIT,SS_BENEFIT,INCOME,,
2,LIST THE STATE IN WHICH YOU RECEIVE THE BENEFIT:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,text_short,SS BENEFIT STATE,SS_STATE,INCOME,,
3,ENTER THE MONTHLY AMOUNT RECEIVED:,HOW MUCH DO YOU RECEIVE PER MONTH?,currency,SS BENEFIT INCOME,SS_INCOME,INCOME,,
4,PLEASE UPLOAD YOUR MOST RECENT BENEFIT LETTER FOR SOCIAL SECURITY:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY'S ELIGIBILITY.,file,SS BENEFIT LETTER,SS_LETTER,INCOME,,
5,DO YOU HAVE ANOTHER BENEFIT TO REPORT?,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,SS BENEFIT ADD,SS_ADD,INCOME,,
,,,,,,,,
1,THE HOUSEHOLD RECEIVES UNEARNED INCOME FROM FAMILY MEMBERS AGE 17 OR UNDER:,"EXAMPLE: SOCIAL SECURITY, TRUST FUND, DISBURSEMENTS, ETC.)",radio,UNEARNED BENEFIT,UNEAR_BENEFIT,INCOME,,
2,LIST THE STATE IN WHICH YOU RECEIVE THE BENEFIT:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,text_short,UNEARNED STATE,UNEAR_STATE,INCOME,,
3,ENTER THE MONTHLY AMOUNT RECEIVED:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,currency,UNEARNED INCOME,UNEAR_INCOME,INCOME,,
4,PLEASE UPLOAD YOUR MOST RECENT BENEFIT LETTER FOR UNEARNED INCOME:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S  ELIGIBILITY.,file,UNEARNED BENEFIT LETTER,UNEAR_LETTER,INCOME,,
5,DO YOU HAVE ANOTHER BENEFIT TO REPORT?,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,UNEARDED BENEFIT ADD,UNEAR_ADD,INCOME,,
,,,,,,,,
1,I RECEIVE SUPPLEMENTAL SECURITY INCOME:,(SSI),radio,SSI BENEFIT,SSI_BENEFIT,INCOME,,
2,LIST THE STATE IN WHICH YOU RECEIVE THE BENEFIT:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,text_short,SSI BENEFIT STATE,SSI_STATE,INCOME,,
3,ENTER THE MONTHLY AMOUNT RECEIVED:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,currency,SSI BENEFIT INCOME,SSI_INCOME,INCOME,,
4,PLEASE UPLOAD YOUR MOST RECENT BENEFIT LETTER FOR SUPPLEMENTAL SECURITY INCOME:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,file,SSI BENEFIT LETTER,SSI_LETTER,INCOME,,
5,DO YOU HAVE ANOTHER BENEFIT TO REPORT?,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,SSI BENEFIT ADD,SSI_ADD,INCOME,,
,,,,,,,,
1,"I RECEIVE DISABILITY, EDD PAID FAMILY LEAVE, EDD DISABILITY INSURANCE, OR DEATH BENEFITS OTHER THAN SOCIAL SECURITY:",THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,DISABILITY BENEFIT,DIS_BENEFIT,INCOME,,
2,LIST THE STATE IN WHICH YOU RECEIVE THE BENEFIT:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,text_short,DISABILITY STATE,DIS_STATE,INCOME,,
3,ENTER THE MONTHLY AMOUNT OF DISABILITY INCOME RECEIVED:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,currency,DISABILITY INCOME,DIS_INCOME,INCOME,,
4,PLEASE UPLOAD YOUR MOST RECENT BENEFIT LETTER FOR DISABILITY:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S  ELIGIBILITY.,file,DISABILITY LETTER,DIS_LETTER,INCOME,,
5,DO YOU HAVE ANOTHER BENEFIT TO REPORT?,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,DISABILITY ADD,DIS_ADD,INCOME,,
,,,,,,,,
1,I RECEIVE PUBLIC ASSISTANCE INCOME:,"EXAMPLE: TANF, CALWORKS, CAPI, AFDC, GA/GR) *DO NOT INCLUDE FOOD STAMPS",radio,PUB ASST BENEFIT,PUB_BENEFIT,INCOME,,
2,LIST THE STATE IN WHICH YOU RECEIVE THE BENEFIT:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,text_short,PUB ASST STATE,PUB_STATE,INCOME,,
3,ENTER THE MONTHLY AMOUNT OF PUBLIC ASSISTANCE INCOME RECEIVED:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,currency,PUB ASST INCOME,PUB_INCOME,INCOME,,
4,PLEASE UPLOAD YOUR MOST RECENT BENEFIT LETTER FOR PUBLIC ASSISTANCE:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,file,PUB ASST BENEFIT LETTER,PUB_LETTER,INCOME,,
5,DO YOU HAVE ANOTHER BENEFIT TO REPORT?,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,PUB ADD,PUB_ADD,INCOME,,
,,,,,,,,
1,I AM ENTITLED TO RECEIVE CHILD SUPPORT PAYMENTS:,EITHER THROUGH A COURT ORDER OR PARENTAL AGREEMENT,radio,CHILD SUPPORT BENEFIT,CS_BENEFIT,INCOME,,
2,I AM CURRENTLY RECEIVING CHILD SUPPORT:,EITHER THROUGH A COURT ORDER OR PARENTAL AGREEMENT,radio,CHILD SUPPORT CURRENT,CS_CURRENT,,,
3,LIST THE STATE IN WHICH YOU RECEIVE THE BENEFIT:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,text_short,CHILD SUPPORT STATE,CS_STATE,INCOME,,
4,HOW MANY PERSONS DO YOU RECEIVE SUPPORT?,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,number,CHILD SUPPORT NUMBER,CS_NUMBER,INCOME,,
5,ENTER THE MONTHLY AMOUNT RECEIVED:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,currency,CHILD SUPPORT INCOME,CS_INCOME,INCOME,,
6,PLEASE UPLOAD YOUR MOST RECENT DOCUMENT FOR CHILD SUPPORT:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,file,CHILD SUPPORT LETTER,CS_LETTER,INCOME,,
7,"I AM NOT CURRENTLY RECEIVING SUPPORT, BUT I AM MAKING EFFORTS TO COLLECT CHILD SUPPORT OWED TO ME. ",THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,CHILD SUPPORT EFFORT,CS_EFFORT,INCOME,,
8,LIST THE EFFORTS BEING MADE:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,text_short,CHILD SUPPORT CURR EFFORT,CS_CUREFFT,INCOME,,
9,DO YOU HAVE ANOTHER CHILD SUPPORT RECORD TO REPORT?,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,CHILD SUPPORT ADD,CS_ADD,INCOME,,
,,,,,,,,
1,I AM ENTITLED TO RECEIVE SPOUSAL SUPPORT PAYMENTS:,EITHER THROUGH A COURT ORDER OR DIVORCE AGREEMENT.,radio,SPOUSAL BENEFIT,SP_BENEFIT,INCOME,,
2,I AM CURRENTLY RECEIVING SPOUSAL SUPPORT:,EITHER THROUGH A COURT ORDER OR  AGREEMENT,radio,SPOUSAL SUPPORT CURRENT,SP_CURRENT,INCOME,,
3,LIST THE STATE IN WHICH YOU RECEIVE THE BENEFIT:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,text_short,SPOUSAL STATE,SP_STATE,INCOME,,
4,HOW MANY PERSONS DO YOU RECEIVE SUPPORT?,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,number,SPOUSAL NUMBER,SP_NUMBER,INCOME,,
5,ENTER THE MONTHLY AMOUNT RECEIVED FOR SPOUSAL SUPPORT:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,currency,SPOUSAL INCOME,SP_INCOME,INCOME,,
6,PLEASE UPLOAD YOUR MOST RECENT PAYMENT STATEMENT:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,file,SPOUSAL UPLOAD,SP_UPLOAD,INCOME,,
7,"I AM NOT CURRENTLY RECEIVING SUPPORT, BUT I AM MAKING EFFORTS TO COLLECT SPOUSAL SUPPORT OWED TO ME. ",THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,SPOUSAL EFFORTS,SP_EFFORTS,INCOME,,
8,LIST THE EFFORTS BEING MADE:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,text_short,SPOUSAL SUPPORT CURR EFFORT,SP_CUREFFT,INCOME,,
9,DO YOU HAVE ANOTHER SPOUSAL SUPPORT RECORD TO REPORT?,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,SPOUSAL ADD,SP_ADD,INCOME,,
,,,,,,,,
1,"I RECEIVE PERIODIC PAYMENTS FROM TRUSTS, ANNUITIES, INHERITANCE, RETIREMENT FUNDS OR PENSIONS, INSURANCE POLICIES, OR LOTTERY WINNINGS:",THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,PERIODIC PAYMENTS,PP_BENEFIT,INCOME,,
2,LIST THE SOURCE OF THE PAYMENT:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,text_short,PERIODIC NAME,PP_NAME,INCOME,,
3,ENTER THE MONTHLY AMOUNT RECEIVED FOR PERIODIC PAYMENTS:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,currency,PERIODIC INCOME,PP_INCOME,INCOME,,
4,PLEASE UPLOAD THE MOST CURRENT RECORD TO SHOW THE MONTHLY AMOUNT YOU RECEIVE FROM PERIODIC PAYMENTS:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,file,PERIODIC UPLOAD,PP_UPLOAD,INCOME,,
5,DO YOU HAVE ANOTER SOURCE OF PERIODIC PAYMENTS TO REPORT?,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY'S ELIGIBILITY.,radio,PERIODIC ADD,PP_ADD,INCOME,,
,,,,,,,,
1,I RECEIVE INCOME FROM REAL OR PERSONAL PROPERTY:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,REAL PROPERTY,RP_BENEFIT,INCOME,,
2,ENTER YOUR NET EARNED INCOME FROM REAL OR PERSONAL PROPERTY:,"REMEMBER, YOUR ""NET"" IS THE GROSS MINUS ALL EXPENSES.",currency,REAL PROPERTY INCOME,RP_INCOME,INCOME,,
3,PLEASE UPLOAD THE MOST CURRENT RECORD TO SHOW THE MONTHLY AMOUNT YOU RECEIVE FROM REAL OR PERSONAL PROPERTY:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,file,REAL PROPERTY UPLOAD,RP_UPLOAD,INCOME,,
4,DO YOU HAVE ANOTHER SOURCE TO REPORT?,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,REAL PROPERTY ADD,RP_ADD,INCOME,,
,,,,,,,,
1,I RECEIVE STUDENT FINANCIAL AID FROM A  PUBLIC/PRIVATE INSTITUTION:,**FOR HOUSEHOLDS RECEIVING SECTION 8 ASSISTANCE ONLY**,radio,FINANCIAL AID,FIN_AID,INCOME,,
2,LIST THE SCHOOL NAME OF THE INSTITUTION WHERE YOU ATTEND:,ENTER THE FULL NAME.,text_short,FA NAME,FIN_NAME,INCOME,,
3,ENTER THE MONTHLY OR ANNUAL AMOUNT RECEIVED FROM FINANCIAL AID:,SUBTRACT THE COST OF TUITION FROM AID RECEIVED.,currency,FA INCOME,FIN_INCOME,INCOME,,
4,PLEASE UPLOAD THE MOST RECENT STATEMENT THAT SHOWS YOUR MONTHLY OR ANNUAL INCOME RECEIVED FROM FINANCIAL AID:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,file,FA UPLOAD,FIN_UPLOAD,INCOME,,
5,DO YOU HAVE ANOTHER SOURCE TO REPORT?,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,FA ADD,FA_ADD,INCOME,,
,,,,,,,,
1,ARE ANY OF THE INCOME SOURCES YOU REPORTED CURRENTLY BEING RECEIVED AS A DEBIT VISA OR MASTERCARD?,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,INCOME SOURCE DEBIT,IS_DEBIT,INCOME,,
2,LIST THE INCOME SOURCE CURRENTLY BEING RECEIVED AS A DEBIT VISA OR MASTERCARD:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,text_short,INCOME SOURCE NAME,IS_NAME,INCOME,,
3,DO YOU HAVE ANOTHER INCOME SOURCE TO REPORT?,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,INCOME SOURCE ADD,IS_ADD,INCOME,,
,,,,,,,,
1,DO YOU ANTICIPATE RECEIVING OR HAVE YOU APPLIED FOR ANY INCOME SOURCE THAT WILL BEGIN WITHIN THE NEXT 12 MONTHS?,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,ANTICIPATE INCOME,ANT_INCOME,INCOME,,
2,LIST THE INCOME SOURCE FOR ANTICIPATED  INCOME:,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,text_short,ANTICIPATE NAME,ANT_NAME,INCOME,,
3,DO YOU HAVE ANOTHER ANTICIPATED INCOME SOURCE TO REPORT?,THIS INFORMATION WILL BE USED FOR YOUR HOUSEHOLD'S ELIGIBILITY.,radio,ANTICIPATE ADD,ANT_ADD,INCOME,,
